treatment,cluster,df,p.value,comparison,channel,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
Triptolide (2.5h) - Control,all,6,0.01871079197681391,unnormalised,01_CDK9_pT186,0.7293162918399706,0.6009382538794057,0.8851196443386102,-0.455383472780633,-0.7347113325670829,-0.17605561299418357
Triptolide (2.5h) - Control,Cajal bodies,6,0.01595733130884477,unnormalised,01_CDK9_pT186,0.7222889743700023,0.5961566002527598,0.8751079200922671,-0.4693519468579075,-0.7462367428376142,-0.19246715087820068
Triptolide (2.5h) - Control,Extra-nuclear,6,0.624686358141575,unnormalised,01_CDK9_pT186,0.9626248465354388,0.8328200148463809,1.1126612937350013,-0.05495443336429615,-0.26392335409268325,0.15401448736409112
Triptolide (2.5h) - Control,Nuclear periphery,6,0.48655028033149916,unnormalised,01_CDK9_pT186,0.9382218725653008,0.7926365695437703,1.1105471485710081,-0.09199896042133694,-0.3352685650248505,0.1512706441821769
Triptolide (2.5h) - Control,Nuclear speckles,6,0.0011249812821625975,unnormalised,01_CDK9_pT186,0.5725397684661246,0.47459914775342116,0.6906918986832096,-0.8045521889682052,-1.0752185850276819,-0.5338857929087288
Triptolide (2.5h) - Control,Nucleolus,6,0.617322345299772,unnormalised,01_CDK9_pT186,1.0579203764904621,0.8579292987208916,1.304531183003492,0.08123104827884785,-0.22106933362818768,0.38353143018588337
Triptolide (2.5h) - Control,Nucleoplasm,6,0.011686252215896442,unnormalised,01_CDK9_pT186,0.6671473690630578,0.5344471338899727,0.8327963306832705,-0.5839226151376113,-0.9038808474969591,-0.26396438277826373
Triptolide (2.5h) - Control,PML bodies,6,0.00713786485827424,unnormalised,01_CDK9_pT186,0.673156801064906,0.5544287549600717,0.817309843268449,-0.5709854982687174,-0.850926011361558,-0.29104498517587657
Triptolide (2.5h) - Control,Cajal bodies - all,5,0.946748363768732,relative_to_all,01_CDK9_pT186,0.9903645132453586,0.7558068301943368,1.2977150111802007,-0.013968474077274291,-0.40391053865655147,0.3759735905020027
Triptolide (2.5h) - Control,(Extra-nuclear) - all,5,0.07348796795724298,relative_to_all,01_CDK9_pT186,1.3199003742352458,1.0373717063869201,1.6793758564845198,0.400429039416337,0.05293292681714046,0.7479251520155337
Triptolide (2.5h) - Control,Nuclear periphery - all,5,0.11146830375732182,relative_to_all,01_CDK9_pT186,1.2864403045190291,0.9961174252130872,1.661379085640424,0.3633845123592963,-0.005612273490587453,0.73238129820918
Triptolide (2.5h) - Control,Nuclear speckles - all,5,0.1361418656881942,relative_to_all,01_CDK9_pT186,0.7850363071167393,0.6008956475937648,1.0256057036847182,-0.3491687161875722,-0.7348136227037735,0.03647619032862921
