cell_cycle,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
S - G1,all,6294,3.758268933835007e-182,unnormalised,NA,NA,1.2414599966096886,1.223898529433981,1.2592734496501934,0.31203777450497133,0.29148395251529086,0.33259159649465175
S - G1,Cajal bodies,6294,6.002742411175513e-5,unnormalised,NA,NA,1.1052472342038275,1.0525592082630129,1.1605726681457758,0.14436912406314892,0.07390138964785892,0.21483685847843856
S - G1,Cajal bodies - all,6294,3.7644246881102122e-6,relative_to_all,NA,6294,0.8902801839947759,0.8475232968448082,0.9351941226447565,-0.16766865044182247,-0.23867506908023653,-0.09666223180340862
S - G1,all,6262,3.589637028553003e-177,unnormalised,NA,NA,1.2417513097904211,1.2239067930896643,1.2598559988981635,0.3123762685203885,0.29149369343297266,0.33325884360780483
S - G1,Nuclear periphery,6262,2.575736318374431e-46,unnormalised,NA,NA,2.0664117882048156,1.8721147494539538,2.2808739045922723,1.0471277786963669,0.9046688662217951,1.1895866911709387
S - G1,Nuclear periphery - all,6262,2.2797078745777974e-21,relative_to_all,NA,6262,1.6641108182552091,1.4985605742217127,1.8479498680740734,0.7347515101759783,0.5835774010773949,0.8859256192745616
S - G1,all,6252,1.7454922491219017e-187,unnormalised,NA,NA,1.241652893184573,1.2243501412262723,1.2592001709653893,0.31226192132785136,0.29201620081861346,0.3325076418370892
S - G1,Nuclear speckles,6252,3.917386556404878e-37,unnormalised,NA,NA,1.3908451221905236,1.3224110098746151,1.462820665796323,0.47596177725765393,0.4031706411050743,0.5487529134102334
S - G1,Nuclear speckles - all,6252,6.266963613366909e-7,relative_to_all,NA,6252,1.1201561481673872,1.0713097907548095,1.1712296546763958,0.16369985592980243,0.09937572468157069,0.2280239871780341
S - G1,all,6295,1.1816861704990624e-187,unnormalised,NA,NA,1.2416503404341368,1.2243520781952706,1.2591930012261754,0.31225895524594477,0.2920184832158328,0.33249942727605675
S - G1,Nucleolus,6295,6.542280057241719e-78,unnormalised,NA,NA,1.2651966487662905,1.2347837217156312,1.2963586512343868,0.3393616395842446,0.30425836898976644,0.37446491017872274
S - G1,Nucleolus - all,6295,0.028728405977764767,relative_to_all,NA,6295,1.0189637191448928,1.0019574897771915,1.0362585953267134,0.02710268433829967,0.0028213003608372404,0.05138406831576239
S - G1,all,6295,3.291825518910667e-189,unnormalised,NA,NA,1.2416684711392214,1.2244452944940698,1.2591339108034594,0.3122800214724735,0.2921283189201441,0.33243172402480303
S - G1,Nucleoplasm,6295,7.170507202394894e-107,unnormalised,NA,NA,1.299570398628495,1.2700962347343507,1.3297285471794715,0.3780347877164437,0.3449378136226753,0.41113176181021205
S - G1,Nucleoplasm - all,6295,1.8934672612841845e-9,relative_to_all,NA,6295,1.0466323570543343,1.0312047325688773,1.062290790795943,0.0657547662439702,0.04433078987308473,0.0871787426148556
S - G1,all,6295,2.887281656503004e-180,unnormalised,NA,NA,1.2414993884699002,1.2238365238538556,1.259417170127857,0.31208355088111733,0.29141086033739894,0.33275624142483595
S - G1,PML bodies,6295,7.947099308457222e-64,unnormalised,NA,NA,1.2965859020007597,1.2584661607671819,1.335860314465886,0.37471779144771467,0.3316664240080452,0.41776915888738436
S - G1,PML bodies - all,6295,6.448116437325347e-4,relative_to_all,NA,6295,1.0443709550262055,1.0186606096182786,1.0707302131875593,0.0626342405665973,0.026673464282428585,0.09859501685076626
